id,# readmes,mean readme lines,# readme links,% acc. links,found dataset,# licences,# os licenses,mean CCR,mean pylint score,# rs decl lines,% fixed rs lines,MS found,HPL found,% pub. avail. Libs,% strict decl. In conf,% decl. In conf to used in sc
65,1,77.0,15,100.0,1,1,1,4.43,5.69,4,100.0,1,0,90.0,100.0,80.0
66,2,57.5,11,81.82,1,1,1,65,8.46,2,100.0,0,0,100.0,0,0.0
67,1,16.0,1,100.0,1,0,0,20.62,0.16,0,0,0,0,100.0,96.55,100.0
68,2,21.5,1,0.0,1,0,0,1.96,5.44,0,0,0,0,100.0,0,0.0
69,1,46.0,1,100.0,1,0,0,0.85,-0.49,1,100.0,0,0,100.0,98.85,80.0
70,1,61.0,6,83.33,1,0,0,5.94,7.16,0,0,0,0,100.0,0,0.0
71,1,121.0,14,100.0,1,1,1,3.44,7.82,0,0,0,0,100.0,0,0.0
72,1,13.0,0,100.0,1,0,0,1.53,0.0,2,100.0,0,0,100.0,100.0,83.33
73,1,2.0,0,100.0,0,0,0,8.66,4.42,0,0,1,0,100.0,0,0.0
74,1,30.0,3,100.0,0,1,1,2.5,2.0,0,0,0,0,100.0,0,0.0
75,1,25.0,4,100.0,1,1,1,10.13,0.31,0,0,1,0,87.5,100.0,62.5
76,1,112.0,1,100.0,1,0,0,14.26,6.6,1,100.0,0,0,80.0,100.0,80.0
77,1,59.0,2,100.0,1,0,0,3.77,-0.98,6,100.0,1,1,89.66,100.0,51.72
78,3,88.33,15,86.67,1,1,1,12.0,7.17,19,100.0,1,0,100.0,0,0.0
79,1,989.0,14,92.86,1,1,1,5.46,-19.02,43,93.02,0,0,37.93,0,0.0
80,1,2.0,0,100.0,1,0,0,10.84,4.65,7,100.0,0,0,88.89,0,0.0
81,3,43.33,7,71.43,1,0,0,1.99,5.97,6,100.0,0,0,72.73,97.73,63.64
82,1,4.0,1,0.0,0,0,0,5.36,2.57,0,0,0,0,100.0,0,0.0
83,1,28.0,6,83.33,1,1,1,2.24,0.97,2,100.0,0,0,83.33,0,0.0
84,1,42.0,1,100.0,1,0,0,3.79,2.66,0,0,0,0,100.0,0,0.0
85,4,10.75,1,100.0,0,0,0,7.01,6.64,6,100.0,1,0,84.62,0,0.0
86,1,70.0,0,100.0,1,1,1,15.44,6.89,149,100.0,1,0,100.0,99.33,61.54
