SCAD_score,SE_score,DSA_score,RSC_score,MS_score,HPL_score,from_set
1.0,0.18,1,1.0,1,1,scientific
0.53,0.2,1,0,1,0,scientific
0.23,1.0,1,1.0,1,0,scientific
0.74,0.2,1,0,1,0,scientific
0.96,0.41,1,1.0,1,1,scientific
0.16,0.2,1,0,0,0,scientific
0.68,0.18,0,1.0,1,0,scientific
0.13,0.2,1,0,0,0,scientific
0.56,0.2,0,0,0,0,scientific
0.9,0.2,1,1.0,0,0,scientific
0.86,0.46,1,1.0,0,0,scientific
0.82,0.6,1,0,1,0,scientific
0.9,0.2,1,0,0,0,scientific
0.56,0.4,0,1.0,1,0,scientific
0.99,0.35,1,1.0,1,0,scientific
0.63,0.58,1,1.0,1,0,scientific
0.79,0.2,1,1.0,1,1,scientific
0.74,0.29,1,1.0,1,1,scientific
0.15,0.2,0,1.0,1,0,scientific
1.0,0.2,1,1.0,1,0,scientific
1.0,0.59,1,0.96,1,0,scientific
0.38,0.18,1,1.0,1,0,scientific
0.61,0.2,1,0,1,0,scientific
0.66,0.4,0,1.0,1,0,scientific
0.97,0.85,1,1.0,1,1,scientific
1.0,0.4,1,0,0,0,scientific
0.66,0.62,1,0,1,0,scientific
0.54,0.19,1,1.0,1,0,scientific
0.91,0.33,1,1.0,1,0,scientific
1.0,0.2,1,1.0,1,0,scientific
0.9,0.43,1,1.0,1,0,scientific
0.99,0.4,1,0,0,0,scientific
0.7,0.19,1,1.0,1,0,scientific
0.58,0.2,0,0,1,0,scientific
1.0,0.45,1,0,1,1,scientific
0.77,0.19,1,1.0,1,0,scientific
1.0,0.34,1,1.0,1,0,scientific
0.99,0.2,1,0,1,0,scientific
0.59,0.19,1,1.0,1,0,scientific
0.81,0.36,1,1.0,1,0,scientific
0.81,0.59,1,1.0,0,0,scientific
0.99,0.75,1,1.0,1,0,scientific
0.92,0.12,1,1.0,1,1,scientific
0.9,0.23,1,1.0,0,0,scientific
0.55,0.52,1,1.0,1,0,scientific
0.16,0.2,0,0,0,0,scientific
0.93,0.52,0,0,1,0,scientific
0.7,0.7,1,1.0,1,0,scientific
1.0,0.57,1,1.0,1,0,scientific
0.59,0.66,1,1.0,1,0,scientific
0.65,0.64,1,1.0,0,0,scientific
1.0,0.65,1,1.0,1,0,scientific
0.9,0.66,1,1.0,1,0,scientific
0.9,0.15,1,1.0,1,0,scientific
0.55,0.08,1,1.0,1,0,scientific
1.0,0.45,1,1.0,1,0,scientific
1.0,0.55,1,0.87,1,0,scientific
1.0,0.19,1,0,0,0,scientific
0.63,0.66,1,1.0,1,0,scientific
0.56,0.19,1,0,1,1,scientific
0.66,0.69,1,0,1,0,scientific
1.0,0.65,1,1.0,1,0,scientific
0.55,0.52,1,1.0,1,1,scientific
0.3,0.2,1,1.0,1,0,scientific
0.2,0.19,0,1.0,1,0,scientific
0.49,0.2,0,1.0,0,0,scientific
0.59,0.17,1,1.0,0,0,scientific
0.9,0.17,1,1.0,0,0,scientific
0.55,0.62,0,1.0,1,1,scientific
0.44,1.0,1,0,0,0,scientific
0.9,0.56,1,1.0,0,0,scientific
0.65,0.13,0,1.0,1,0,scientific
0.68,0.2,1,1.0,1,0,scientific
0.91,0.91,1,0,1,1,scientific
