,SCAD_score,SE_score,DSA_score,RSC_score,MS_score,HPL_score,label
143,0.74,0.29,1,1.0,1,1,0
144,0.15,0.2,0,1.0,1,0,0
145,1.0,0.2,1,1.0,1,0,0
146,1.0,0.59,1,0.96,1,0,0
147,0.38,0.18,1,1.0,1,0,0
148,0.61,0.2,1,0.0,1,0,1
149,0.66,0.4,0,1.0,1,0,0
150,0.97,0.85,1,1.0,1,1,0
151,1.0,0.4,1,0.0,0,0,1
152,0.66,0.62,1,0.0,1,0,1
153,0.54,0.19,1,1.0,1,0,0
154,0.91,0.33,1,1.0,1,0,0
155,1.0,0.2,1,1.0,1,0,0
156,0.9,0.43,1,1.0,1,0,0
157,0.99,0.4,1,0.0,0,0,1
158,0.7,0.19,1,1.0,1,0,0
159,0.58,0.2,0,0.0,1,0,1
160,1.0,0.45,1,0.0,1,1,1
161,0.77,0.19,1,1.0,1,0,0
162,1.0,0.34,1,1.0,1,0,0
163,0.99,0.2,1,0.0,1,0,1
164,0.59,0.19,1,1.0,1,0,0
165,0.81,0.36,1,1.0,1,0,0
166,0.81,0.59,1,1.0,0,0,0
167,0.99,0.75,1,1.0,1,0,0
168,0.92,0.12,1,1.0,1,1,0
169,0.9,0.23,1,1.0,0,0,0
170,0.55,0.52,1,1.0,1,0,0
171,0.16,0.2,0,0.0,0,0,1
172,0.93,0.52,0,0.0,1,0,1
173,0.7,0.7,1,1.0,1,0,0
174,1.0,0.57,1,1.0,1,0,0
175,0.59,0.66,1,1.0,1,0,0
176,0.65,0.64,1,1.0,0,0,0
177,1.0,0.65,1,1.0,1,0,0
178,0.9,0.66,1,1.0,1,0,0
179,0.9,0.15,1,1.0,1,0,0
180,0.55,0.08,1,1.0,1,0,0
181,1.0,0.45,1,1.0,1,0,0
182,1.0,0.55,1,0.87,1,0,0
183,1.0,0.19,1,0.0,0,0,1
184,0.63,0.66,1,1.0,1,0,0
185,0.56,0.19,1,0.0,1,1,1
186,0.66,0.69,1,0.0,1,0,1
187,1.0,0.65,1,1.0,1,0,0
188,0.55,0.52,1,1.0,1,1,0
189,0.3,0.2,1,1.0,1,0,0
190,0.2,0.19,0,1.0,1,0,0
191,0.49,0.2,0,1.0,0,0,0
192,0.59,0.17,1,1.0,0,0,0
193,0.9,0.17,1,1.0,0,0,0
194,0.55,0.62,0,1.0,1,1,0
195,0.44,1.0,1,0.0,0,0,1
196,0.9,0.56,1,1.0,0,0,0
197,0.65,0.13,0,1.0,1,0,0
198,0.68,0.2,1,1.0,1,0,0
199,0.91,0.91,1,0.0,1,1,1
